student,cond,arm,r,mean,sd,ci_lo,ci_hi,t_params_nominal,s_params_nominal
s_micro,C0,base_only,1,22.500000000000004,,22.500000000000004,22.500000000000004,,200000
s_micro,C1,matched_real,1,5.833333333333333,,5.833333333333333,5.833333333333333,,200000
s_micro,t0p5b,synthetic,1,-2.4999999999999982,,-2.4999999999999982,-2.4999999999999982,500000000.0,200000
s_micro,t3b,synthetic,1,-2.4999999999999982,,-2.4999999999999982,-2.4999999999999982,3000000000.0,200000
